Start (s),End (s),Segment
0.16,11.28,"Finally, One Piece episode 1137 has arrived, where we get to know Bonnie learns the truth of Kuma's pain and Saturn's sick experiments that cursed her family, but Kuma crashes back to save her."
11.52,16.08,Watch till the end to find out if his hacky charged fist smashes Saturn's face in.
16.24,22.96,"The Labo Stratum doors slide open, and the second Bonnie steps out, Vegapunk is there, his face just etched with pure regret."
23.20,25.28,"He asks her, did she see everything?"
25.52,32.48,"And Bonnie, snot dripping from her nose, just barely manages to confirm it before something inside her completely shatters."
32.64,36.96,"Vegapunk starts to apologize, knowing he just broke his sacred promise to his friend."
37.28,48.00,"But before he can even get the words out, Bonnie shrinks down to her true child form, rushes forward, and throws her arms around him, crying and apologizing to the very scientist who showed her the truth."
48.32,49.12,She gets it now.
49.36,52.00,She knows who the real villain has been this entire time.
52.32,55.92,"Once they've calmed down, Vegapunk decides it's finally time."
56.16,60.00,"The cat's out of the bag, and he has something for a hair gift from her father."
60.16,62.56,Kuma planned to give it to her for her 10th birthday.
62.80,66.00,"And as he reveals it, Bonnie's face completely lights up."
66.32,70.48,"It's a breathtaking sapphire necklace, shaped perfectly like the sun."
70.80,76.40,"An undeniable symbol of her bond with Nika with Luffy, a mirror of the symbol from their little church."
76.56,82.80,"Kuma told Vegapunk it was meant to be a protective charm, and Bonnie, holding it, vows to cherish it forever."
83.04,89.20,"Vegapunk just marvels at how much she's grown in only two years, which immediately gets Bonnie thinking about Luffy."
89.36,90.56,She knows from the memory.
90.72,93.20,"He's Dragon's son, her dad's old friend."
93.44,102.40,"Vegapunk confirms it, admitting he was stunned to see them arrive on Egghead together, chalking it all up to the undeniable, almost scientific force of fate in their world."
102.64,114.08,"He quickly explains that a whole war has basically broken out while she was inside the memory bubble, that the Straw Hats are currently saving his life, and he promises he'll tell her every last detail once they regroup."
114.48,121.44,"He apologizes again, sure that she must see him as just a worthless, spineless scientist for hire, but Bonnie cuts him right off."
121.76,123.28,It was never his fault.
123.52,124.00,All of it.
124.32,125.68,Every last drop of suffering.
125.84,128.40,The blame falls squarely on one man.
128.72,131.28,"And in the present, that very man, Saint J."
131.44,138.48,"Garcia Saturn, holds her suspended in the air, his voice dripping with pure ice as he delivers the coldest line imaginable."
138.80,140.88,"Your father, Kuma, is dead."
141.20,149.44,"All around them, Sanji, Frankie, Vegapunk himself, they're all completely locked down, unable to move an inch thanks to some kind of busted paralysis ability."
149.60,156.00,"Luffy, completely gassed and half conscious from fighting Kizaru, is shriveled up, desperately begging for food."
156.32,161.28,"Even Atlas is tweaking out, saying she'd give him some grub if only her body would respond."
161.52,174.72,"Nearby, Sentomaru has been captured by the Marines, and Kizaru can only watch in silence, his face a mask of gut-wrenching conflict as he sees two of the kids he cares about, Bonnie and Centomaru, facing their absolute doom."
175.04,177.20,"This ain't some backwater skirmish anymore, dude."
177.44,185.68,"News is blasting across the globe about the siege on Egghead, an event that people are already saying will be on an even bigger scale than what happened at Ohara."
185.84,192.24,"While the world prays for the ever-charitable doctor on Momoaro Island, Dragon asks Eva a critical question."
192.48,196.96,"If there is even a fragment of Kuma's instinct left in that shell, where would it take him?"
197.20,201.68,"Iva figures it's gotta be Mary GWaz for revenge, but Dragon knows his friend better."
201.84,203.68,Kuma was just a different kind of guy.
203.92,206.00,"Back on Egghead, Bonnie makes her stand."
206.16,209.44,"If she's going to die here, she is damn well taking Saturn with her."
209.60,221.04,"Screaming Nika's name, she unleashes her distorted future, Nika Metaina Marai, winding up a colossal, stretchy fist to smash his face into paste, but her punch just ricochets."
221.28,222.72,It does absolutely nothing.
222.96,226.16,A truly incredible display of Saturn's defensive power.
226.48,228.16,Her giant fist evaporates.
228.32,231.92,"She goes weak, and Saturn crushes her even tighter in his hand."
232.16,238.24,"He's not surprised she knows the name Nika, being Kuma's daughter, but it's painfully obvious her understanding is flawed."
238.48,246.00,He's thinking to himself that she still hasn't connected the dots between Luffy's ridiculous white form and the actual warrior of liberation.
246.32,249.60,"And then, a sound cuts through the thick, terrifying tension."
249.84,251.28,"Chomp, chomp, chomp."
251.52,258.24,"And I swear to God, Saturn must be having Boyd Century War flashbacks because he starts to absolutely panic."
258.40,259.12,It's Luffy.
259.36,263.04,"Someone got him food and he is inhaling it, powering back up."
263.28,264.32,Saturn is losing it.
264.56,265.60,Who gave him that food?
265.84,267.76,Put sea stone cuffs on him immediately.
267.92,272.24,"The Marines scramble, but it's clear his paralysis trick might not even work on Luffy."
272.40,276.08,"We see Kizaru, hunched over, silent, bro."
276.32,277.20,This is it.
277.52,279.60,This is the full-blown face turn.
279.84,281.20,There is no other explanation.
281.52,286.24,"Kizaru, the man who did the Nika shuffle in the flashback, just gave Luffy his cheat code meal."
286.48,290.24,You can't dance to the drums of liberation and go back to being a cog in the machine.
290.40,296.32,"Bonnie, still trapped, is wondering why her powers aren't working, why she can't even alter Saturn's age."
296.64,301.44,"And that's when Saturn decides to unleash the cruelest, most soul-destroying truth bombs in history."
301.76,305.44,"He reveals that he was the one who gave her the Toshi, Toshinomi's power."
305.68,312.56,"They conducted an experiment on her as a baby, giving her devil fruit abilities through an extract and bypassing the need to eat the fruit."
312.80,315.92,"And while the experiment worked, the fruit itself is now useless."
316.08,318.56,He then cruelly explains her own powers back to her.
318.88,322.32,She can only transform into a future she genuinely believes is possible.
322.56,324.32,Her knowledge is now her cage.
324.56,332.08,"As he mocks her for believing in a Santa Claus myth like Nika, she screams that he is real, that she swore she would find him to save her father."
332.40,338.00,"But Saturn just scoffs, saying her sudden weakness is proof that her own doubt is killing her powers."
338.32,343.84,"He calls Nika a worthless buccaneer legend, and then he delivers the final, horrifying blows."
344.08,349.44,"He reveals her mother, Ginny, was taken to the Holy Land to become wife number eight."
349.68,352.32,And it's heavily implied he means his eighth wife.
352.48,360.88,"He was the one who experimented on Ginny with drugs, a failed experiment that gave her the sapphire scale disease, a condition he was surprised to see Bonnie inherit."
361.12,362.56,It all comes crashing down.
362.80,368.40,"Kuma's entire life, his entire sacrifice, was to save Bonnie from a disease that Saturn himself created."
368.72,372.00,"The man is pure evil, the Griffith to Kuma's guts."
372.16,378.24,"Vegapunk is absolutely livid, screaming that Saturn's heartless experiments are why Kuma gave up his life."
